Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
2.010193, 0.007666, 0.236904
2.017272, 0.007702, 0.237803
2.024350, 0.007738, 0.238704
2.031428, 0.007774, 0.239606
2.038506, 0.007810, 0.240509
2.045584, 0.007846, 0.241414
2.052662, 0.007882, 0.242320
2.059740, 0.007919, 0.243228
2.066819, 0.007955, 0.244137
2.073897, 0.007991, 0.245047
2.080975, 0.008028, 0.245959
2.088053, 0.008065, 0.246872
2.095131, 0.008102, 0.247786
2.102209, 0.008138, 0.248702
2.109287, 0.008175, 0.249618
2.116366, 0.008212, 0.250537
2.123444, 0.008249, 0.251456
2.130522, 0.008287, 0.252377
2.137600, 0.008324, 0.253298
2.144678, 0.008361, 0.254221
2.151756, 0.008398, 0.255146
2.158835, 0.008436, 0.256071
2.165913, 0.008473, 0.256998
2.172991, 0.008511, 0.257926
2.180069, 0.008549, 0.258855
2.187147, 0.008586, 0.259785
2.194225, 0.008624, 0.260716
2.201303, 0.008662, 0.261648
2.208382, 0.008700, 0.262582
2.215460, 0.008738, 0.263516
2.222538, 0.008776, 0.264452
2.229616, 0.008814, 0.265388
2.236694, 0.008852, 0.266326
2.243772, 0.008890, 0.267265
2.250850, 0.008928, 0.268205
2.257929, 0.008966, 0.269145
2.265007, 0.009005, 0.270087
2.272085, 0.009043, 0.271030
2.279163, 0.009081, 0.271974
2.286241, 0.009120, 0.272918
2.293319, 0.009158, 0.273864
2.300397, 0.009197, 0.274811
2.307476, 0.009235, 0.275758
2.314554, 0.009274, 0.276707
2.321632, 0.009313, 0.277657
2.328710, 0.009351, 0.278607
2.335788, 0.009390, 0.279558
2.342866, 0.009429, 0.280510
2.349944, 0.009468, 0.281464
2.357023, 0.009507, 0.282418
2.364101, 0.009546, 0.283372
2.371179, 0.009585, 0.284328
2.378257, 0.009624, 0.285285
2.385335, 0.009663, 0.286242
2.392413, 0.009702, 0.287200
2.399491, 0.009741, 0.288159
2.406570, 0.009780, 0.289119
2.413648, 0.009819, 0.290080
2.420726, 0.009858, 0.291042
2.427804, 0.009898, 0.292004
2.434882, 0.009937, 0.292967
2.441960, 0.009976, 0.293931
2.449039, 0.010016, 0.294896
2.456117, 0.010055, 0.295861
2.463195, 0.010095, 0.296827
2.470273, 0.010134, 0.297794
2.477351, 0.010174, 0.298762
2.484429, 0.010213, 0.299730
2.491507, 0.010253, 0.300699
2.498586, 0.010292, 0.301669
2.505664, 0.010332, 0.302640
2.512742, 0.010371, 0.303611
2.519820, 0.010411, 0.304583
2.526898, 0.010451, 0.305555
2.533976, 0.010491, 0.306529
2.541054, 0.010530, 0.307503
2.548133, 0.010570, 0.308478
2.555211, 0.010610, 0.309453
2.562289, 0.010650, 0.310429
2.569367, 0.010690, 0.311406
2.576445, 0.010729, 0.312383
2.583523, 0.010769, 0.313361
2.590601, 0.010809, 0.314339
2.597680, 0.010849, 0.315319
2.604758, 0.010889, 0.316299
2.611836, 0.010929, 0.317279
2.618914, 0.010969, 0.318260
2.625992, 0.011009, 0.319242
2.633070, 0.011049, 0.320224
2.640148, 0.011089, 0.321207
2.647227, 0.011130, 0.322190
2.654305, 0.011170, 0.323174
2.661383, 0.011210, 0.324159
2.668461, 0.011250, 0.325144
2.675539, 0.011290, 0.326130
2.682617, 0.011330, 0.327116
2.689695, 0.011371, 0.328103
2.696774, 0.011411, 0.329091
2.703852, 0.011451, 0.330079
2.710930, 0.011492, 0.331067
2.718008, 0.011532, 0.332056
2.725086, 0.011572, 0.333046
2.732164, 0.011613, 0.334036
2.739242, 0.011653, 0.335027
2.746321, 0.011693, 0.336018
2.753399, 0.011734, 0.337010
2.760477, 0.011774, 0.338002
2.767555, 0.011815, 0.338995
2.774633, 0.011855, 0.339988
2.781711, 0.011896, 0.340982
2.788790, 0.011936, 0.341976
2.795868, 0.011977, 0.342970
2.802946, 0.012017, 0.343966
2.810024, 0.012058, 0.344961
2.817102, 0.012098, 0.345957
2.824180, 0.012139, 0.346954
2.831258, 0.012180, 0.347951
2.838337, 0.012220, 0.348949
2.845415, 0.012261, 0.349947
2.852493, 0.012301, 0.350945
2.859571, 0.012342, 0.351944
2.866649, 0.012383, 0.352943
2.873727, 0.012423, 0.353943
2.880805, 0.012464, 0.354943
2.887884, 0.012505, 0.355944
2.894962, 0.012546, 0.356945
2.902040, 0.012586, 0.357947
2.909118, 0.012627, 0.358949
2.916196, 0.012668, 0.359951
2.923274, 0.012709, 0.360954
2.930352, 0.012750, 0.361957
2.937431, 0.012790, 0.362961
2.944509, 0.012831, 0.363965
2.951587, 0.012872, 0.364969
2.958665, 0.012913, 0.365974
2.965743, 0.012954, 0.366979
2.972821, 0.012995, 0.367985
2.979899, 0.013036, 0.368991
2.986978, 0.013076, 0.369997
2.994056, 0.013117, 0.371004
3.001134, 0.013158, 0.372011
3.008212, 0.013199, 0.373019
3.015290, 0.013240, 0.374027
3.022368, 0.013281, 0.375035
3.029446, 0.013322, 0.376043
3.036525, 0.013363, 0.377053
3.043603, 0.013404, 0.378062
3.050681, 0.013445, 0.379072
3.057759, 0.013486, 0.380082
3.064837, 0.013527, 0.381092
3.071915, 0.013568, 0.382103
3.078993, 0.013609, 0.383114
3.086072, 0.013650, 0.384126
3.093150, 0.013692, 0.385138
3.100228, 0.013733, 0.386150
3.107306, 0.013774, 0.387162
3.114384, 0.013815, 0.388175
3.121462, 0.013856, 0.389188
3.128541, 0.013897, 0.390202
3.135619, 0.013938, 0.391216
3.142697, 0.013979, 0.392230
3.149775, 0.014021, 0.393245
3.156853, 0.014062, 0.394259
3.163931, 0.014103, 0.395275
3.171009, 0.014144, 0.396290
3.178088, 0.014185, 0.397306
3.185166, 0.014226, 0.398322
3.192244, 0.014268, 0.399338
3.199322, 0.014309, 0.400355
3.206400, 0.014350, 0.401372
3.213478, 0.014391, 0.402389
3.220556, 0.014433, 0.403407
3.227635, 0.014474, 0.404425
3.234713, 0.014515, 0.405443
3.241791, 0.014556, 0.406462
3.248869, 0.014598, 0.407480
3.255947, 0.014639, 0.408500
3.263025, 0.014680, 0.409519
3.270103, 0.014722, 0.410539
3.277182, 0.014763, 0.411558
3.284260, 0.014804, 0.412579
3.291338, 0.014846, 0.413599
3.298416, 0.014887, 0.414620
3.305494, 0.014928, 0.415641
3.312572, 0.014970, 0.416662
3.319650, 0.015011, 0.417684
3.326729, 0.015052, 0.418706
3.333807, 0.015094, 0.419728
3.340885, 0.015135, 0.420750
3.347963, 0.015177, 0.421773
3.355041, 0.015218, 0.422796
3.362119, 0.015259, 0.423819
3.369197, 0.015301, 0.424842
3.376276, 0.015342, 0.425866
3.383354, 0.015384, 0.426890
3.390432, 0.015425, 0.427914
3.397510, 0.015466, 0.428938
3.404588, 0.015508, 0.429963
3.411666, 0.015549, 0.430988
3.418744, 0.015591, 0.432013
3.425823, 0.015632, 0.433039
3.432901, 0.015674, 0.434064
3.439979, 0.015715, 0.435090
3.447057, 0.015757, 0.436116
3.454135, 0.015798, 0.437143
3.461213, 0.015840, 0.438169
3.468292, 0.015881, 0.439196
3.475370, 0.015923, 0.440223
3.482448, 0.015964, 0.441250
3.489526, 0.016006, 0.442278
3.496604, 0.016047, 0.443305
3.503682, 0.016089, 0.444333
3.510760, 0.016131, 0.445362
3.517839, 0.016172, 0.446390
3.524917, 0.016214, 0.447419
3.531995, 0.016255, 0.448447
3.539073, 0.016297, 0.449476
3.546151, 0.016338, 0.450506
3.553229, 0.016380, 0.451535
3.560307, 0.016422, 0.452565
3.567386, 0.016463, 0.453595
3.574464, 0.016505, 0.454625
3.581542, 0.016546, 0.455655
3.588620, 0.016588, 0.456686
3.595698, 0.016630, 0.457716
3.602776, 0.016671, 0.458747
3.609854, 0.016713, 0.459778
3.616933, 0.016754, 0.460810
3.624011, 0.016796, 0.461841
3.631089, 0.016838, 0.462873
3.638167, 0.016879, 0.463905
3.645245, 0.016921, 0.464937
3.652323, 0.016963, 0.465969
3.659401, 0.017004, 0.467002
3.666480, 0.017046, 0.468035
3.673558, 0.017088, 0.469068
3.680636, 0.017129, 0.470101
3.687714, 0.017171, 0.471134
3.694792, 0.017213, 0.472167
3.701870, 0.017254, 0.473201
3.708948, 0.017296, 0.474235
3.716027, 0.017338, 0.475269
3.723105, 0.017380, 0.476303
3.730183, 0.017421, 0.477337
3.737261, 0.017463, 0.478372
3.744339, 0.017505, 0.479407
3.751417, 0.017546, 0.480442
3.758496, 0.017588, 0.481477
3.765574, 0.017630, 0.482512
3.772652, 0.017672, 0.483547
3.779730, 0.017713, 0.484583
3.786808, 0.017755, 0.485619
3.793886, 0.017797, 0.486655
3.800964, 0.017839, 0.487691
3.808043, 0.017880, 0.488727
3.815121, 0.017922, 0.489763
3.822199, 0.017964, 0.490800
3.829277, 0.018006, 0.491837
3.836355, 0.018048, 0.492874
3.843433, 0.018089, 0.493911
3.850511, 0.018131, 0.494948
3.857590, 0.018173, 0.495986
3.864668, 0.018215, 0.497023
3.871746, 0.018257, 0.498061
3.878824, 0.018298, 0.499099
3.885902, 0.018340, 0.500137
3.892980, 0.018382, 0.501175
3.900058, 0.018424, 0.502214
3.907137, 0.018466, 0.503252
3.914215, 0.018507, 0.504291
3.921293, 0.018549, 0.505330
3.928371, 0.018591, 0.506369
3.935449, 0.018633, 0.507408
3.942527, 0.018675, 0.508447
3.949605, 0.018717, 0.509486
3.956684, 0.018759, 0.510526
3.963762, 0.018800, 0.511566
3.970840, 0.018842, 0.512606
3.977918, 0.018884, 0.513646
3.984996, 0.018926, 0.514686
3.992074, 0.018968, 0.515726
3.999152, 0.019010, 0.516767
4.006231, 0.019052, 0.517807
4.013309, 0.019093, 0.518848
4.020387, 0.019135, 0.519889
4.027465, 0.019177, 0.520930
4.034543, 0.019219, 0.521971
4.041621, 0.019261, 0.523012
4.048699, 0.019303, 0.524054
4.055778, 0.019345, 0.525095
4.062856, 0.019387, 0.526137
4.069934, 0.019429, 0.527179
4.077012, 0.019471, 0.528221
4.084090, 0.019512, 0.529263
4.091168, 0.019554, 0.530305
4.098247, 0.019596, 0.531348
4.105325, 0.019638, 0.532390
4.112403, 0.019680, 0.533433
4.119481, 0.019722, 0.534475
4.126559, 0.019764, 0.535518
4.133637, 0.019806, 0.536561
4.140715, 0.019848, 0.537604
4.147794, 0.019890, 0.538648
4.154872, 0.019932, 0.539691
4.161950, 0.019974, 0.540735
4.169028, 0.020016, 0.541778
4.176106, 0.020058, 0.542822
4.183184, 0.020100, 0.543866
4.190262, 0.020142, 0.544910
4.197341, 0.020184, 0.545954
4.204419, 0.020226, 0.546998
4.211497, 0.020267, 0.548043
4.218575, 0.020309, 0.549087
4.225653, 0.020351, 0.550132
4.232731, 0.020393, 0.551176
4.239809, 0.020435, 0.552221
4.246888, 0.020477, 0.553266
4.253966, 0.020519, 0.554311
4.261044, 0.020561, 0.555356
4.268122, 0.020603, 0.556402
4.275200, 0.020645, 0.557447
4.282278, 0.020687, 0.558493
4.289356, 0.020729, 0.559538
4.296435, 0.020771, 0.560584
4.303513, 0.020813, 0.561630
4.310591, 0.020855, 0.562676
4.317669, 0.020897, 0.563722
4.324747, 0.020939, 0.564768
