Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
48.783998, 0.012419, 1.273944
48.924145, 0.012465, 1.278058
49.064292, 0.012512, 1.282172
49.204439, 0.012559, 1.286287
49.344587, 0.012606, 1.290402
49.484734, 0.012653, 1.294517
49.624881, 0.012700, 1.298632
49.765029, 0.012747, 1.302748
49.905176, 0.012793, 1.306863
50.045323, 0.012840, 1.310979
50.185470, 0.012887, 1.315096
50.325618, 0.012934, 1.319212
50.465765, 0.012981, 1.323328
50.605912, 0.013028, 1.327445
50.746060, 0.013075, 1.331562
50.886207, 0.013122, 1.335679
51.026354, 0.013169, 1.339797
51.166501, 0.013216, 1.343914
51.306649, 0.013263, 1.348032
51.446796, 0.013310, 1.352150
51.586943, 0.013357, 1.356268
51.727091, 0.013404, 1.360386
51.867238, 0.013451, 1.364504
52.007385, 0.013498, 1.368623
52.147533, 0.013545, 1.372742
52.287680, 0.013592, 1.376861
52.427827, 0.013639, 1.380980
52.567974, 0.013686, 1.385099
52.708122, 0.013733, 1.389219
52.848269, 0.013780, 1.393339
52.988416, 0.013827, 1.397459
53.128564, 0.013874, 1.401579
53.268711, 0.013921, 1.405699
53.408858, 0.013968, 1.409819
53.549005, 0.014015, 1.413940
53.689153, 0.014062, 1.418060
53.829300, 0.014109, 1.422181
53.969447, 0.014156, 1.426302
54.109595, 0.014203, 1.430423
54.249742, 0.014251, 1.434545
54.389889, 0.014298, 1.438666
54.530036, 0.014345, 1.442788
54.670184, 0.014392, 1.446910
54.810331, 0.014439, 1.451032
54.950478, 0.014486, 1.455154
55.090626, 0.014533, 1.459276
55.230773, 0.014580, 1.463398
55.370920, 0.014628, 1.467521
55.511067, 0.014675, 1.471643
55.651215, 0.014722, 1.475766
55.791362, 0.014769, 1.479889
55.931509, 0.014816, 1.484012
56.071657, 0.014863, 1.488135
56.211804, 0.014911, 1.492259
56.351951, 0.014958, 1.496382
56.492099, 0.015005, 1.500506
56.632246, 0.015052, 1.504630
56.772393, 0.015099, 1.508754
56.912540, 0.015147, 1.512878
57.052688, 0.015194, 1.517002
57.192835, 0.015241, 1.521126
57.332982, 0.015288, 1.525250
57.473130, 0.015335, 1.529375
57.613277, 0.015383, 1.533500
57.753424, 0.015430, 1.537624
57.893571, 0.015477, 1.541749
58.033719, 0.015524, 1.545874
58.173866, 0.015572, 1.549999
58.314013, 0.015619, 1.554125
58.454161, 0.015666, 1.558250
58.594308, 0.015714, 1.562376
58.734455, 0.015761, 1.566501
58.874602, 0.015808, 1.570627
59.014750, 0.015855, 1.574753
59.154897, 0.015903, 1.578879
59.295044, 0.015950, 1.583005
59.435192, 0.015997, 1.587131
59.575339, 0.016045, 1.591257
59.715486, 0.016092, 1.595384
59.855633, 0.016139, 1.599510
59.995781, 0.016187, 1.603637
60.135928, 0.016234, 1.607764
60.276075, 0.016281, 1.611890
60.416223, 0.016329, 1.616017
60.556370, 0.016376, 1.620144
60.696517, 0.016423, 1.624272
60.836665, 0.016471, 1.628399
60.976812, 0.016518, 1.632526
61.116959, 0.016565, 1.636653
61.257106, 0.016613, 1.640781
61.397254, 0.016660, 1.644909
61.537401, 0.016707, 1.649036
61.677548, 0.016755, 1.653164
61.817696, 0.016802, 1.657292
61.957843, 0.016850, 1.661420
62.097990, 0.016897, 1.665548
62.238137, 0.016944, 1.669677
62.378285, 0.016992, 1.673805
62.518432, 0.017039, 1.677933
62.658579, 0.017087, 1.682062
62.798727, 0.017134, 1.686190
62.938874, 0.017181, 1.690319
63.079021, 0.017229, 1.694448
63.219168, 0.017276, 1.698577
63.359316, 0.017324, 1.702706
63.499463, 0.017371, 1.706835
63.639610, 0.017419, 1.710964
63.779758, 0.017466, 1.715093
63.919905, 0.017513, 1.719222
64.060052, 0.017561, 1.723352
64.200199, 0.017608, 1.727481
64.340347, 0.017656, 1.731611
64.480494, 0.017703, 1.735740
64.620641, 0.017751, 1.739870
64.760789, 0.017798, 1.744000
64.900936, 0.017846, 1.748130
65.041083, 0.017893, 1.752260
65.181230, 0.017941, 1.756390
65.321378, 0.017988, 1.760520
65.461525, 0.018036, 1.764650
65.601672, 0.018083, 1.768780
65.741820, 0.018130, 1.772911
65.881967, 0.018178, 1.777041
66.022114, 0.018225, 1.781172
66.162262, 0.018273, 1.785302
66.302409, 0.018320, 1.789433
66.442556, 0.018368, 1.793563
66.582703, 0.018415, 1.797694
66.722851, 0.018463, 1.801825
66.862998, 0.018510, 1.805956
67.003145, 0.018558, 1.810087
67.143293, 0.018606, 1.814218
67.283440, 0.018653, 1.818349
67.423587, 0.018701, 1.822481
67.563734, 0.018748, 1.826612
67.703882, 0.018796, 1.830743
67.844029, 0.018843, 1.834875
67.984176, 0.018891, 1.839006
68.124324, 0.018938, 1.843138
68.264471, 0.018986, 1.847269
68.404618, 0.019033, 1.851401
68.544765, 0.019081, 1.855533
68.684913, 0.019128, 1.859665
68.825060, 0.019176, 1.863797
68.965207, 0.019224, 1.867929
69.105355, 0.019271, 1.872060
69.245502, 0.019319, 1.876193
69.385649, 0.019366, 1.880325
69.525796, 0.019414, 1.884457
69.665944, 0.019461, 1.888589
69.806091, 0.019509, 1.892722
69.946238, 0.019557, 1.896854
70.086386, 0.019604, 1.900987
70.226533, 0.019652, 1.905119
70.366680, 0.019699, 1.909252
70.506828, 0.019747, 1.913384
70.646975, 0.019795, 1.917517
70.787122, 0.019842, 1.921650
70.927269, 0.019890, 1.925783
71.067417, 0.019937, 1.929916
71.207564, 0.019985, 1.934049
71.347711, 0.020033, 1.938181
71.487859, 0.020080, 1.942315
71.628006, 0.020128, 1.946448
71.768153, 0.020175, 1.950581
71.908300, 0.020223, 1.954714
72.048448, 0.020271, 1.958847
72.188595, 0.020318, 1.962981
72.328742, 0.020366, 1.967114
72.468890, 0.020414, 1.971248
72.609037, 0.020461, 1.975381
72.749184, 0.020509, 1.979515
72.889331, 0.020556, 1.983648
73.029479, 0.020604, 1.987782
73.169626, 0.020652, 1.991916
73.309773, 0.020699, 1.996050
73.449921, 0.020747, 2.000183
73.590068, 0.020795, 2.004317
73.730215, 0.020842, 2.008451
73.870362, 0.020890, 2.012585
