Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
2.519820, 1.484128, 4.490183
2.526898, 1.489762, 4.497463
2.533976, 1.495395, 4.504745
2.541054, 1.501028, 4.512031
2.548133, 1.506662, 4.519319
2.555211, 1.512471, 4.526447
2.562289, 1.518088, 4.533732
2.569367, 1.523705, 4.541019
2.576445, 1.529323, 4.548309
2.583523, 1.534939, 4.555600
2.590601, 1.540457, 4.562892
2.597680, 1.546083, 4.570194
2.604758, 1.551715, 4.577495
2.611836, 1.557348, 4.584797
2.618914, 1.562979, 4.592098
2.625992, 1.568570, 4.599396
2.633070, 1.574250, 4.606704
2.640148, 1.579883, 4.614015
2.647227, 1.585513, 4.621325
2.654305, 1.591146, 4.628636
2.661383, 1.596778, 4.635952
2.668461, 1.602411, 4.643269
2.675539, 1.608043, 4.650588
2.682617, 1.613676, 4.657910
2.689695, 1.619365, 4.665238
2.696774, 1.624985, 4.672560
2.703852, 1.630595, 4.679886
2.710930, 1.636205, 4.687214
2.718008, 1.641817, 4.694544
2.725086, 1.647430, 4.701876
2.732164, 1.653044, 4.709209
2.739242, 1.658659, 4.716545
2.746321, 1.664275, 4.723882
2.753399, 1.670111, 4.731234
2.760477, 1.675733, 4.738575
2.767555, 1.681355, 4.745919
2.774633, 1.686979, 4.753263
2.781711, 1.692605, 4.760609
2.788790, 1.698231, 4.767957
2.795868, 1.703859, 4.775307
2.802946, 1.709487, 4.782659
2.810024, 1.715117, 4.790012
2.817102, 1.720748, 4.797368
2.824180, 1.726380, 4.804724
2.831258, 1.732014, 4.812082
2.838337, 1.737648, 4.819443
2.845415, 1.743284, 4.826805
2.852493, 1.748921, 4.834168
2.859571, 1.754558, 4.841532
2.866649, 1.760197, 4.848899
2.873727, 1.765837, 4.856267
2.880805, 1.771478, 4.863637
2.887884, 1.777069, 4.871015
2.894962, 1.782699, 4.878380
2.902040, 1.788334, 4.885754
2.909118, 1.794001, 4.893129
2.916196, 1.799602, 4.900507
2.923274, 1.805239, 4.907883
2.930352, 1.810826, 4.915261
2.937431, 1.816448, 4.922643
2.944509, 1.822150, 4.930026
2.951587, 1.827780, 4.937410
2.958665, 1.833419, 4.944796
2.965743, 1.839078, 4.952184
2.972821, 1.844691, 4.959570
2.979899, 1.850327, 4.966960
2.986978, 1.855959, 4.974349
2.994056, 1.861595, 4.981741
3.001134, 1.867231, 4.989134
3.008212, 1.872915, 4.996531
3.015290, 1.878433, 5.003918
3.022368, 1.884110, 5.011317
3.029446, 1.889751, 5.018715
3.036525, 1.895369, 5.026114
3.043603, 1.901069, 5.033521
3.050681, 1.906680, 5.040922
3.057759, 1.912318, 5.048326
3.064837, 1.917955, 5.055731
3.071915, 1.923565, 5.063141
3.078993, 1.929213, 5.070546
3.086072, 1.934867, 5.077951
3.093150, 1.940507, 5.085361
3.100228, 1.946180, 5.092773
3.107306, 1.951778, 5.100183
3.114384, 1.957418, 5.107583
3.121462, 1.963051, 5.115008
3.128541, 1.968707, 5.122424
3.135619, 1.974361, 5.129951
3.142697, 1.979962, 5.137260
3.149775, 1.985584, 5.144812
3.156853, 1.991263, 5.152101
3.163931, 1.996921, 5.159524
3.171009, 2.002578, 5.166949
3.178088, 2.008240, 5.174375
3.185166, 2.013785, 5.181784
3.192244, 2.019422, 5.189209
3.199322, 2.025063, 5.196635
3.206400, 2.030698, 5.204061
3.213478, 2.036335, 5.211489
3.220556, 2.041972, 5.218916
3.227635, 2.047628, 5.226347
3.234713, 2.053247, 5.233779
3.241791, 2.058791, 5.241220
3.248869, 2.064524, 5.248643
3.255947, 2.070162, 5.256078
3.263025, 2.075800, 5.263512
3.270103, 2.081447, 5.270958
3.277182, 2.087075, 5.278386
3.284260, 2.092685, 5.285822
3.291338, 2.098460, 5.293272
3.298416, 2.103988, 5.300701
3.305494, 2.109627, 5.308142
3.312572, 2.115264, 5.315585
3.319650, 2.120840, 5.323024
3.326729, 2.126538, 5.330467
3.333807, 2.132181, 5.337913
3.340885, 2.137814, 5.345357
3.347963, 2.143449, 5.352861
3.355041, 2.149093, 5.360251
3.362119, 2.154730, 5.367699
3.369197, 2.160367, 5.375147
3.376276, 2.166006, 5.382597
3.383354, 2.171660, 5.390046
3.390432, 2.177212, 5.397495
3.397510, 2.183063, 5.404961
3.404588, 2.188564, 5.412404
3.411666, 2.194205, 5.419858
3.418744, 2.199846, 5.427337
3.425823, 2.205486, 5.434800
3.432901, 2.211099, 5.442284
3.439979, 2.216752, 5.449682
3.447057, 2.222378, 5.457170
3.454135, 2.228026, 5.464598
3.461213, 2.233663, 5.472059
3.468292, 2.239293, 5.479524
3.475370, 2.244876, 5.487026
3.482448, 2.250042, 5.494714
3.489526, 2.254838, 5.502485
3.496604, 2.259298, 5.510414
3.503682, 2.263778, 5.518335
3.510760, 2.268358, 5.526272
3.517839, 2.272803, 5.534224
3.524917, 2.277259, 5.542124
3.531995, 2.281786, 5.550041
3.539073, 2.286187, 5.558012
3.546151, 2.290773, 5.565909
3.553229, 2.295278, 5.573838
3.560307, 2.299814, 5.581760
3.567386, 2.304333, 5.589679
3.574464, 2.308853, 5.597612
3.581542, 2.313358, 5.605531
3.588620, 2.317822, 5.613452
3.595698, 2.322566, 5.621384
3.602776, 2.327015, 5.629292
3.609854, 2.331553, 5.637218
3.616933, 2.336127, 5.645142
3.624011, 2.340714, 5.653067
3.631089, 2.345296, 5.660982
3.638167, 2.349868, 5.668860
3.645245, 2.355267, 5.676434
3.652323, 2.365570, 5.682005
3.659401, 2.376483, 5.687347
3.666480, 2.385429, 5.693482
3.673558, 2.393643, 5.699983
3.680636, 2.401287, 5.706596
3.687714, 2.408765, 5.713376
3.694792, 2.415997, 5.720212
3.701870, 2.423063, 5.727110
3.708948, 2.429958, 5.734054
3.716027, 2.436852, 5.741059
3.723105, 2.443561, 5.748089
3.730183, 2.450206, 5.755160
3.737261, 2.456790, 5.762245
3.744339, 2.463340, 5.769367
3.751417, 2.469845, 5.776495
3.758496, 2.476168, 5.783659
3.765574, 2.482646, 5.790824
3.772652, 2.489108, 5.797988
3.779730, 2.495503, 5.805201
3.786808, 2.501871, 5.812389
3.793886, 2.508214, 5.819604
3.800964, 2.514517, 5.826826
3.808043, 2.520797, 5.834055
3.815121, 2.527030, 5.841299
3.822199, 2.533253, 5.848572
3.829277, 2.539462, 5.855833
3.836355, 2.545659, 5.863094
3.843433, 2.551800, 5.870363
3.850511, 2.558018, 5.877643
3.857590, 2.564142, 5.884935
3.864668, 2.570285, 5.892240
3.871746, 2.576397, 5.899543
3.878824, 2.582517, 5.906843
3.885902, 2.588671, 5.914135
3.892980, 2.594699, 5.921489
3.900058, 2.600808, 5.928787
3.907137, 2.606842, 5.936129
3.914215, 2.612965, 5.943429
3.921293, 2.619040, 5.950748
3.928371, 2.625078, 5.958086
3.935449, 2.631138, 5.965424
3.942527, 2.637193, 5.972759
3.949605, 2.643219, 5.980098
3.956684, 2.649229, 5.987448
3.963762, 2.655222, 5.994801
3.970840, 2.661254, 6.002144
3.977918, 2.667242, 6.009512
3.984996, 2.673276, 6.016856
3.992074, 2.679244, 6.024221
3.999152, 2.685236, 6.031597
4.006231, 2.691204, 6.038960
4.013309, 2.697175, 6.046334
4.020387, 2.703163, 6.053695
4.027465, 2.709152, 6.061066
4.034543, 2.715133, 6.068435
4.041621, 2.721080, 6.075820
4.048699, 2.727080, 6.083182
4.055778, 2.732993, 6.090570
4.062856, 2.738976, 6.097963
4.069934, 2.744917, 6.105337
4.077012, 2.750875, 6.112718
4.084090, 2.756821, 6.120113
4.091168, 2.762705, 6.127477
4.098247, 2.768696, 6.134888
4.105325, 2.774610, 6.142292
4.112403, 2.780563, 6.149723
4.119481, 2.786499, 6.157125
4.126559, 2.792435, 6.164509
4.133637, 2.798326, 6.171864
4.140715, 2.804276, 6.179265
4.147794, 2.810269, 6.186662
4.154872, 2.816082, 6.194072
4.161950, 2.821951, 6.201474
4.169028, 2.827951, 6.208888
4.176106, 2.833851, 6.216303
4.183184, 2.839752, 6.223723
4.190262, 2.845501, 6.231094
4.197341, 2.851396, 6.238495
4.204419, 2.857464, 6.245931
4.211497, 2.863358, 6.253320
4.218575, 2.869244, 6.260740
4.225653, 2.875136, 6.268175
4.232731, 2.881021, 6.275574
4.239809, 2.521829, 6.439825
4.246888, 2.521430, 6.450092
4.253966, 2.522191, 6.459842
4.261044, 2.523547, 6.469322
4.268122, 2.525240, 6.478648
4.275200, 2.527259, 6.487878
4.282278, 2.529360, 6.497001
4.289356, 2.531702, 6.506056
4.296435, 2.533943, 6.515066
4.303513, 2.536487, 6.524046
4.310591, 2.539072, 6.532978
4.317669, 2.541726, 6.541880
4.324747, 2.544460, 6.550746
4.331825, 2.547220, 6.559602
4.338903, 2.550043, 6.568432
4.345982, 2.552944, 6.577296
4.353060, 2.555827, 6.586029
4.360138, 2.558774, 6.594805
4.367216, 2.561762, 6.603563
4.374294, 2.564737, 6.612328
